condition,trial,expected_type,detected,detected_type,confidence,alert_id
baseline_portscan_nmap,1,PortScan,True,PortScan,0.978,ae0b2de3-53df-4119-ad7a-e07672a89a32
baseline_portscan_nmap,2,PortScan,False,,,
baseline_portscan_nmap,3,PortScan,True,PortScan,0.978,e6df5f26-11b7-4296-95fa-2fa779b39b62
baseline_portscan_nmap,4,PortScan,True,PortScan,0.9932,774c0df5-d873-4de1-8278-4e2c3779bb6e
baseline_portscan_nmap,5,PortScan,True,PortScan,0.978,c689d55e-b776-4e62-8f37-b1a95478bb52
baseline_dos_hping3_slow,1,DoS,True,DoS,0.9974,fcea6538-1252-46fa-b90c-95d18fe6cbfd
baseline_dos_hping3_slow,2,DoS,True,DoS,0.9973,e7abe17b-d1d9-446d-9a33-2d5d48751293
baseline_dos_hping3_slow,3,DoS,True,DoS,0.9972,1482a8c3-2013-464e-a8c2-6865d033bfe7
baseline_dos_hping3_slow,4,DoS,True,DoS,0.9954,701a7858-ef9b-4317-a082-a30cef2c129d
baseline_dos_hping3_slow,5,DoS,True,DoS,0.9974,e9267228-425b-4051-b817-153cfc40f6bc
baseline_bruteforce_hydra,1,Bruteforce,True,Bruteforce,0.9974,3b4b340a-02cb-4fea-9f0f-c44402519142
baseline_bruteforce_hydra,2,Bruteforce,True,Bruteforce,0.9955,71242ccb-db72-401f-aa10-42e0f5a49123
baseline_bruteforce_hydra,3,Bruteforce,True,Bruteforce,0.9972,28d12502-8808-48d5-aa0e-51c799e5c3f9
baseline_bruteforce_hydra,4,Bruteforce,True,Bruteforce,0.9949,82e2c4a0-5bc5-4a6e-9946-37ba46caf09f
baseline_bruteforce_hydra,5,Bruteforce,True,Bruteforce,0.9948,e1e02ee5-8d5e-4626-a04d-cd0c8dc7f6cf
adversarial_portscan_masscan,1,PortScan,True,PortScan,0.595,aff03c0d-973f-4cfb-9cdd-3f04a08705ba
adversarial_portscan_masscan,2,PortScan,True,PortScan,0.595,914327d7-78cb-4510-99eb-c4d6442ff2a3
adversarial_portscan_masscan,3,PortScan,True,PortScan,0.595,9fe58400-8e11-4c00-8c9b-b4dea83f418a
adversarial_portscan_masscan,4,PortScan,True,PortScan,0.595,bc33dd13-9d51-4c1b-b50c-137f227946b2
adversarial_portscan_masscan,5,PortScan,True,PortScan,0.595,e2958963-bef6-42fb-972d-9db70f84fdb7
adversarial_dos_hping3_fast,1,DoS,True,DoS,0.996,2ade5b5d-18e1-4306-96e6-b972509086c7
adversarial_dos_hping3_fast,2,DoS,True,DoS,0.9971,9fe8ad32-de39-4aa6-819f-cfe7495bdedf
adversarial_dos_hping3_fast,3,DoS,True,DoS,0.9974,7fab7da8-4189-4851-90f6-32e4fa0a06b5
adversarial_dos_hping3_fast,4,DoS,True,DoS,0.9922,11bb0c3a-60a4-4f85-a4a6-ba9b6d8be9b8
adversarial_dos_hping3_fast,5,DoS,True,DoS,0.9971,c5184020-dc3e-43ec-9dc7-7d6d7d2dcaf9
adversarial_bruteforce_wfuzz,1,Bruteforce,False,,,
adversarial_bruteforce_wfuzz,2,Bruteforce,False,,,
adversarial_bruteforce_wfuzz,3,Bruteforce,False,,,
adversarial_bruteforce_wfuzz,4,Bruteforce,False,,,
adversarial_bruteforce_wfuzz,5,Bruteforce,False,,,
